generation,individual,sfc,reqps,cpu,avg_cpu,memory,avg_memory,link,latency,sfc_hosts,total_hosts,no_sfcs,ar
1,0,sfc0-0,80.825,0.05069543793797493,0.05069543793797493,0.02518610004335642,0.02518610004335642,521.3212500000002,4.339219197586201,1,5,9,0.28125
1,0,sfc0-1,80.825,0.05069543793797493,0.12694306392222643,0.02518610004335642,0.06887796195223927,1960.0062500000004,202.8084092810882,2,5,9,0.28125
1,0,sfc0-2,80.825,0.05069543793797493,0.12694306392222643,0.02518610004335642,0.06887796195223927,1543.7575000000002,8.903872517217637,2,5,9,0.28125
1,0,sfc0-3,80.825,0.05069543793797493,0.09440410137176514,0.02518610004335642,0.03783696889877319,1313.4062499999998,301.7586391329422,2,5,9,0.28125
1,0,sfc0-4,80.825,0.05069543793797493,0.09440410137176514,0.02518610004335642,0.03783696889877319,2158.0274999999992,243.66465801750184,2,5,9,0.28125
1,0,sfc0-5,80.825,0.05069543793797493,0.16140201315283775,0.02518610004335642,0.09227194171398878,909.2812500000002,12.615774549844765,1,5,9,0.28125
1,0,sfc0-6,80.825,0.05069543793797493,0.17044725827872753,0.02518610004335642,0.07561611896380782,1669.03625,453.6904423871081,2,5,9,0.28125
1,0,sfc0-7,80.825,0.05069543793797493,0.16140201315283775,0.02518610004335642,0.09227194171398878,909.2812500000002,13.203219115449926,1,5,9,0.28125
1,0,sfc1-0,80.825,0.06973577477037907,0.11789781879633665,0.07043880689889193,0.08553378470242023,1184.08625,8.552298045973167,2,5,9,0.28125
1,1,sfc0-0,80.825,0.05069543793797493,0.19189909100532532,0.02518610004335642,0.13398238364607096,3669.4550000000013,273.7383029968946,3,6,14,0.4375
1,1,sfc0-1,80.825,0.05069543793797493,0.2379645612090826,0.02518610004335642,0.27589586842805147,2448.997500000001,242.7146681914072,2,6,14,0.4375
1,1,sfc0-2,80.825,0.05069543793797493,0.12358043591181438,0.02518610004335642,0.11950062246372302,3414.8562500000007,88.7258364853091,3,6,14,0.4375
1,1,sfc0-3,80.825,0.05069543793797493,0.21358820609748363,0.02518610004335642,0.2627613227814436,2133.7799999999997,151.1694846552952,1,6,14,0.4375
1,1,sfc0-4,80.825,0.05069543793797493,0.2379645612090826,0.02518610004335642,0.27589586842805147,2448.997500000001,131.69785807217954,2,6,14,0.4375
1,1,sfc0-5,80.825,0.05069543793797493,0.1421678444991509,0.02518610004335642,0.1346234039713939,3645.207500000001,144.19288146680333,3,6,14,0.4375
1,1,sfc0-6,80.825,0.05069543793797493,0.19907374866306782,0.02518610004335642,0.17095193173736334,2327.7600000000007,243.54847658777882,2,6,14,0.4375
1,1,sfc0-7,80.825,0.05069543793797493,0.171192635782063,0.02518610004335642,0.14826775947585702,2303.5125000000007,114.42288370611871,2,6,14,0.4375
1,1,sfc1-0,80.825,0.06973577477037907,0.16809505286316076,0.07043880689889193,0.20458602843185267,3629.0425000000014,167.77584977510307,3,6,14,0.4375
1,1,sfc1-1,80.825,0.06973577477037907,0.18512984489401182,0.07043880689889193,0.21692320300887027,3677.5375000000013,199.28191177053785,3,6,14,0.4375
1,1,sfc1-2,80.825,0.06973577477037907,0.19907374866306782,0.07043880689889193,0.17095193173736334,1778.1499999999999,171.2351812240437,2,6,14,0.4375
1,1,sfc1-3,80.825,0.06973577477037907,0.14652430918067694,0.07043880689889193,0.18086959747597575,3556.3000000000006,717.6584399358186,2,6,14,0.4375
1,1,sfc1-5,80.825,0.06973577477037907,0.20157539596160254,0.07043880689889193,0.19518864434212446,2634.895000000001,679.1506412586639,3,6,14,0.4375
1,1,sfc2-0,80.825,0.14285955019295216,0.18512984489401182,0.27196985948830843,0.21692320300887027,3677.5375000000013,182.81139638128258,3,6,14,0.4375
1,3,sfc0-0,80.825,0.05069543793797493,0.09926642011851072,0.02518610004335642,0.052106501534581184,893.1162500000003,2.843501596747425,2,7,9,0.28125
1,3,sfc0-1,80.825,0.05069543793797493,0.10910996856788795,0.02518610004335642,0.04599573307981094,1858.9750000000006,2.8055287079207925,3,7,9,0.28125
1,3,sfc0-2,80.825,0.05069543793797493,0.07083546308179696,0.02518610004335642,0.04309448848168055,2073.16125,91.84325061916108,3,7,9,0.28125
1,3,sfc0-3,80.825,0.05069543793797493,0.0479068203518788,0.02518610004335642,0.04580300363401572,1749.8612500000002,26.920879478597914,3,7,9,0.28125
1,3,sfc0-4,80.825,0.05069543793797493,0.07371423207223415,0.02518610004335642,0.03360073966905475,1434.6437500000002,78.57953930284951,2,7,9,0.28125
1,3,sfc0-5,80.825,0.05069543793797493,0.060011137276887894,0.02518610004335642,0.041899741627275944,1636.7062500000009,79.33959883852796,3,7,9,0.28125
1,3,sfc0-6,80.825,0.05069543793797493,0.08070100657641888,0.02518610004335642,0.04613597085699439,1224.4987500000007,110.82617627719758,2,7,9,0.28125
1,3,sfc0-7,80.825,0.05069543793797493,0.060011137276887894,0.02518610004335642,0.041899741627275944,1361.9012500000003,5.039386588274697,2,7,9,0.28125
1,3,sfc1-0,80.825,0.06973577477037907,0.07859854586422443,0.07043880689889193,0.05702252313494682,1782.1912500000005,28.3807212621685,3,7,9,0.28125
1,5,sfc0-0,80.825,0.05069543793797493,0.04836651310324669,0.02518610004335642,0.021007689647376537,581.9399999999998,3.466743145723681,2,5,3,0.09375
1,5,sfc0-1,80.825,0.05069543793797493,0.047590204825003944,0.02518610004335642,0.01961488618204991,775.9199999999998,3.6165559537037026,3,5,3,0.09375
