sfc, reqps, cpu, memory, link, latency
sfc0-0,33,0.9845282416790724,1.324781603179872,0.792,175.64793536526946
sfc0-1,32,0.957526583224535,1.3240892766043544,0.512,115.76694708227845
sfc0-2,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,193.42091724752476
sfc0-3,25,0.7685145642608404,1.3147627166472375,0.4000000000000001,168.4750870887096
sfc0-4,26,0.7955162227153778,1.316575079690665,0.36400000000000005,164.048718372093
sfc0-5,18,0.5795023404061794,1.306556269992143,0.28800000000000003,161.59610065168548
sfc1-0,34,1.2151135597378016,3.804294732399285,0.544,165.8477304583333
sfc1-1,28,0.945002674125135,3.795345709659159,0.672,113.11365371830985
sfc1-2,15,0.49849716015160084,3.775396116543561,0.24,129.56288242857138
sfc1-3,59,2.3405757965520024,3.8410223089158535,0.944,174.28196775337824
sfc2-1,16,1.893920712172985,14.538072815630585,2.6560000000000006,172.9309009268293
sfc0-0,33,0.9845282416790724,1.324781603179872,0.792,246.69385980368094
sfc0-1,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,289.67622203305785
sfc0-2,19,0.6065042037516832,1.3072486221790314,0.30400000000000005,199.80597413541662
sfc0-3,29,0.8765214029699564,1.3197721214964986,0.4640000000000001,327.7864444794522
sfc0-4,30,0.9035230614244938,1.321584484539926,0.42000000000000004,326.3306798851352
sfc0-5,14,0.47149550169706345,1.3015468651428819,0.22400000000000006,197.32847033333334
sfc1-0,33,1.170095019042492,3.802243056707084,0.528,277.5860769454547
sfc1-1,19,0.6065042037516832,3.781362157315016,0.456,202.87416531249997
sfc1-2,16,0.5254990234971046,3.7774475873447955,0.256,404.61277439743594
sfc1-3,49,1.890390901826322,3.8261072197929025,0.7840000000000001,242.82419040573774
sfc2-1,22,2.301520351320505,14.57697108387947,3.6519999999999992,402.5264425446429
sfc0-0,41,1.2005420215427876,1.3348004128783941,0.9840000000000001,453.18737909708733
sfc0-1,26,0.7955162227153778,1.316575079690665,0.4160000000000001,554.657518296875
sfc0-2,22,0.6875093840062618,1.311565674841404,0.35200000000000004,466.0016042727274
